timestamp,customer_state,,product_height_cm,seller_city,payment_installments,product_length_cm,customer_id,order_status,product_width_cm,product_weight_g,payment,product_category,price_MRP,rating,order_id,product_id,seller_state,payment_type,seller_id,quantity,customer_city
2016-10-10 11:39:00,DF,,20,curitiba,5,20,e53edc46664edce7794d86baca23f75b,delivered,20,1300,"155,2",health_beauty,"59,9",3,4b038a7f8dfc36755eca741381e379e3,79938780eb7ffb7289f59a9a283bc06b,PR,credit_card,ecccfa2bb93b34a3bf033cc5d1dcdc69,1,brasilia
2016-10-10 11:39:00,DF,,20,curitiba,5,20,e53edc46664edce7794d86baca23f75b,delivered,20,1300,"155,2",health_beauty,"59,9",3,4b038a7f8dfc36755eca741381e379e3,79938780eb7ffb7289f59a9a283bc06b,PR,credit_card,ecccfa2bb93b34a3bf033cc5d1dcdc69,2,brasilia
2016-10-10 02:17:00,SP,,20,curitiba,1,20,e94cba4a769c459e51325766ab2ef270,delivered,20,1400,"116,17",health_beauty,"99,9",4,f9b03f7a6e5788ffb6cb6b4cd0d01892,44377a26f7c80dbf0a9b2b300604e6bf,PR,boleto,ecccfa2bb93b34a3bf033cc5d1dcdc69,1,indaiatuba
2016-10-10 16:39:00,PR,,20,sao paulo,1,20,17e6d37366dc8c8865588b0d1740d606,delivered,20,550,"87,9",health_beauty,72,5,3379d980824f0aa5dab057f2530759bb,33fac76e7f17367dedaef7954bbb33b4,SP,boleto,56642bcb79900e777d68e91915cb4267,1,cambe
2016-10-10 18:05:00,SP,,20,sao paulo,1,40,bbf83aabda305a5ac059e05b342076a0,delivered,30,1600,"143,78",health_beauty,131,5,b04bd4e0a1a21fef81b1f24f6fb81c08,bdfe450775bde583b7abb5698f1bd6e2,SP,boleto,56642bcb79900e777d68e91915cb4267,1,casa branca
2016-10-10 14:02:00,RR,,10,sao paulo,1,16,784210ee365c635556aeb69e14e072fc,delivered,18,175,"69,02",health_beauty,"39,7",4,d6e32818428593eefe8ffd7e15acb83e,6dab56beb5263f0d554cae5c55809208,SP,boleto,f4aba7c0bca51484c30ab7bdc34bcdd1,1,boa vista
2016-04-10 19:01:00,RJ,,14,belo horizonte,1,21,da1c9a7e7fa9de1d48ecd6d6e027313e,delivered,17,350,"72,51",health_beauty,"57,9",4,03128233e78ed8ade6738f2043f4cf8d,3cacd5299c846cb08ae1e445fd78392b,MG,credit_card,c7dcd301ecfe5ab7f778ac172cf74be7,1,bacaxa
2016-04-10 23:26:00,PR,,9,belo horizonte,1,18,76329463ae17ce6629dd04e014aa72e4,delivered,27,1000,"66,68",health_beauty,"49,9",4,1c4deb98d216d2fda120204a5fcfb57d,e7ffaa35a5caaca3366f5cc5705b5fb2,MG,credit_card,c7dcd301ecfe5ab7f778ac172cf74be7,1,curitiba
2016-04-10 15:35:00,MG,,20,campo grande,8,20,93b0959b3704e65ceaf6cd4bcdfea834,delivered,20,2000,"154,29",health_beauty,"136,9",5,985db56d4cabd2577d0960194dd2cd5a,062619359d5f9a664606cb2a6ccb477a,MS,credit_card,b1fecf4da1fa2689bccffa0121953643,1,belo horizonte
2016-04-10 16:28:00,RJ,,60,sao paulo,1,90,442d66f0d96f656096dd70f1b0391e40,invoiced,20,20100,"659,41",health_beauty,599,1,a6475bb7a50387e3c665534e15bd40ac,39731b928af43b0f49dd60d4706e403f,SP,boleto,432c67955c0acd1fd6b0b5d678766a71,1,rio de janeiro
2016-04-10 21:32:00,MG,,,curitiba,4,20,5dd777a48c8124ad7284bf0ae14057e9,delivered,20,1400,"89,38",health_beauty,"69,9",1,8d47519f5c9c42540b37bd3db0492878,3d37da85f5e66558333fb5daee494736,PR,credit_card,ecccfa2bb93b34a3bf033cc5d1dcdc69,1,alem paraiba
2016-04-10 18:07:00,SP,,20,curitiba,1,20,9e18a290b9d17b14fe33b68a0ea2bfeb,delivered,20,1400,"116,17",health_beauty,"99,9",4,b0cfee6ce5503781be6004e0e31e4309,44377a26f7c80dbf0a9b2b300604e6bf,PR,credit_card,ecccfa2bb93b34a3bf033cc5d1dcdc69,1,piracicaba
2016-04-10 13:30:00,ES,,20,curitiba,1,20,eba930c3950c6964961c7c72f7f6a461,delivered,20,1400,"119,43",health_beauty,"99,9",4,fbbc9a4fa88f1ccd651790df665b3e57,44377a26f7c80dbf0a9b2b300604e6bf,PR,boleto,ecccfa2bb93b34a3bf033cc5d1dcdc69,1,cachoeiro de itapemirim
2016-04-10 15:02:00,SC,,20,curitiba,7,20,a0f95ab56c6d3a5ba0036b7fdfeda07f,delivered,20,1000,"149,54",health_beauty,"59,9",1,51725d3e4bdfc97e28b40543310da8a3,8f1e43e0e3374ed8c84df748034d6179,PR,credit_card,ecccfa2bb93b34a3bf033cc5d1dcdc69,2,benedito novo
2016-04-10 17:08:00,SP,,10,sao paulo,1,18,21a6abdf0197fbe57451bd0a1d3c59a2,delivered,15,250,"65,77",health_beauty,57,1,6b3ee7697a02619a0ace2b3f0aa46bde,4c7d4a2efde21e3bf1660926fabc6a9d,SP,credit_card,ce27a3cc3c8cc1ea79d11e561e9bebb6,1,sao paulo
2016-04-10 22:15:00,SP,,15,petropolis,1,20,a17dc8aaea9743dbccaca067b5ac3b43,delivered,17,1029,"65,46",health_beauty,"49,9",3,d2d67121a09535b3a7b6a000e58d8625,7cd29da0653abeb444703cc5a957f479,RJ,credit_card,620c87c171fb2a6dd6e8bb4dec959fc6,1,sao bernardo do campo
2016-05-10 16:57:00,RJ,,20,curitiba,2,20,76c74aaff2f3f7355f46d9818ad092b8,shipped,20,1300,"75,9",health_beauty,"59,9",1,cda873529ca7ab71f677d5ec11a40304,79938780eb7ffb7289f59a9a283bc06b,PR,credit_card,ecccfa2bb93b34a3bf033cc5d1dcdc69,1,rio de janeiro
2016-05-10 08:04:00,PR,,20,curitiba,1,20,1cbeb91a58bd89ee2df1bc32f3311209,delivered,20,1000,20,health_beauty,"59,9",1,b2f92b2f7047cd8b35580d629d7b3bfb,8f1e43e0e3374ed8c84df748034d6179,PR,voucher,ecccfa2bb93b34a3bf033cc5d1dcdc69,1,sao jose dos pinhais
2016-05-10 08:04:00,PR,,20,curitiba,1,20,1cbeb91a58bd89ee2df1bc32f3311209,delivered,20,1000,20,health_beauty,"59,9",1,b2f92b2f7047cd8b35580d629d7b3bfb,8f1e43e0e3374ed8c84df748034d6179,PR,voucher,ecccfa2bb93b34a3bf033cc5d1dcdc69,1,sao jose dos pinhais
2016-05-10 08:04:00,PR,,20,curitiba,1,20,1cbeb91a58bd89ee2df1bc32f3311209,delivered,20,1000,"31,21",health_beauty,"59,9",1,b2f92b2f7047cd8b35580d629d7b3bfb,8f1e43e0e3374ed8c84df748034d6179,PR,credit_card,ecccfa2bb93b34a3bf033cc5d1dcdc69,1,sao jose dos pinhais
