rating,brand,hierarchicalCategories,type,price,url,objectID,image,categories,popularity,free_shipping,name,description,price_range
2,Pogoplug,"{'lvl0': 'Best Buy Gift Cards', 'lvl1': 'Best Buy Gift Cards > Entertainment Gift Cards'}",Online data backup,69,http://www.bestbuy.com/site/3-year-unlimited-cloud-storage-service-activation-card-other/1696302.p?id=1219066776306&skuId=1696302&cmp=RMX&ky=1uWSHMdQqBeVJB9cXgEke60s5EjfS6M1W,0a37e05528984f47c754837344732fbb,https://cdn-demo.algolia.com/bestbuy/1696302_sc.jpg,"['Best Buy Gift Cards', 'Entertainment Gift Cards']",10000,True,3-Year Unlimited Cloud Storage Service Activation Card - Other,"Enjoy 3 years of unlimited Cloud storage service with this activation card, which allows you to remotely access your favorite music, movies and other media via a compatible device and enables private file sharing with loved ones.",50 - 100
5,360fly,"{'lvl0': 'Cameras & Camcorders', 'lvl1': 'Cameras & Camcorders > Digital Cameras', 'lvl2': 'Cameras & Camcorders > Digital Cameras > Point & Shoot Cameras', 'lvl3': 'Cameras & Camcorders > Digital Cameras > Point & Shoot Cameras > 360 & Panoramic Cameras'}",Point&#38;shoot camcrder,399.99,http://www.bestbuy.com/site/360fly-panoramic-360-hd-video-camera-black/9131042.p?id=1219405459683&skuId=9131042&cmp=RMX&ky=1uWSHMdQqBeVJB9cXgEke60s5EjfS6M1W,67473aa97e981b3b8abaa6a8a768eb26,https://cdn-demo.algolia.com/bestbuy/9131042_rb.jpg,"['Cameras & Camcorders', 'Digital Cameras', 'Point & Shoot Cameras', '360 & Panoramic Cameras']",9999,False,360fly - Panoramic 360° HD Video Camera - Black,"Only at Best Buy  This 360fly panoramic 360&#176; HD video camera features Wi-Fi, a Bluetooth LE interface and the included 360fly app (download required), so you can easily shoot, edit, replay and share recorded video footage using a compatible iOS or Android smartphone. Included action camera adaptor lets you use your 360fly camera with your existing 3-prong mounts.",200 - 500
2,3DR,"{'lvl0': 'Toys, Games & Drones', 'lvl1': 'Toys, Games & Drones > Drones & Accessories', 'lvl2': 'Toys, Games & Drones > Drones & Accessories > Drone Accessories', 'lvl3': 'Toys, Games & Drones > Drones & Accessories > Drone Accessories > Drone Parts'}",Drone accessory,14.95,http://www.bestbuy.com/site/3dr-propellers-for-3dr-solo-drones-2-pack-black/5357011.p?id=1219650465778&skuId=5357011&cmp=RMX&ky=1uWSHMdQqBeVJB9cXgEke60s5EjfS6M1W,b60a0c8bd0333c69ee70565973709bbf,https://cdn-demo.algolia.com/bestbuy/5357011_rb.jpg,"['Toys, Games & Drones', 'Drones & Accessories', 'Drone Accessories', 'Drone Parts']",9997,False,3DR - Propellers for 3DR Solo Drones (2-Pack) - Black,"3D Robotics Propellers for Solo Drones: Buy this set of replacement propellers before you need them so you can get back to flying as soon as you damage or lose a propeller. The 1-piece design of these propellers keeps them secure during flight, self-tightening so you can install them in an instant and return to in-air fun.",1 - 50
2,3DR,"{'lvl0': 'Toys, Games & Drones', 'lvl1': 'Toys, Games & Drones > Drones & Accessories', 'lvl2': 'Toys, Games & Drones > Drones & Accessories > Drone Accessories', 'lvl3': 'Toys, Games & Drones > Drones & Accessories > Drone Accessories > Gimbals'}",Drone accessory,399.99,http://www.bestbuy.com/site/3dr-solo-gimbal-black/5352061.p?id=1219650467156&skuId=5352061&cmp=RMX&ky=1uWSHMdQqBeVJB9cXgEke60s5EjfS6M1W,08462528607b71ea62cbc019d91b001e,https://cdn-demo.algolia.com/bestbuy/5352061_rb.jpg,"['Toys, Games & Drones', 'Drones & Accessories', 'Drone Accessories', 'Gimbals']",9996,False,3DR - Solo Gimbal - Black,"3D Robotics Gimbal for Solo Drones: This stabilizing, 3-axis gimbal for the 3DR Solo drone gives you unprecedented remote control over your compatible GoPro action camera (sold separately). Rotate and tilt the camera, start and stop recording, take photos and adjust camera settings &#8212; all while your drone is up to a half mile away. Plus, the gimbal charges your camera in flight so you never miss a shot.",200 - 500
3,3M,"{'lvl0': 'Appliances', 'lvl1': 'Appliances > Vacuum Bags'}",Bags,7.99,http://www.bestbuy.com/site/3m-eureka-rr-pet-micro-allergen-vacuum-bag-for-select-eureka-vacuums-3-pack/9274741.p?id=1218072892585&skuId=9274741&cmp=RMX&ky=1uWSHMdQqBeVJB9cXgEke60s5EjfS6M1W,2483416c14aa8d93dad96745a9230bfa,https://cdn-demo.algolia.com/bestbuy/9274741_sb.jpg,"['Appliances', 'Vacuum Bags']",9994,False,3M - Eureka RR Pet Micro Allergen Vacuum Bag for Select Eureka Vacuums (3-Pack),"Equip your Eureka 4800 series vacuum with this odor-absorbent, micro allergen-filtering vacuum bag and help eliminate dust, dander and other airborne allergens as well as undesirable odors from your home.",1 - 50
3,3M,"{'lvl0': 'Appliances', 'lvl1': 'Appliances > Vacuum Belts'}",Belts,2.99,http://www.bestbuy.com/site/3m-filtrete-eureka-u-replacement-belt/8507939.p?id=1186005356287&skuId=8507939&cmp=RMX&ky=1uWSHMdQqBeVJB9cXgEke60s5EjfS6M1W,76951acb34204078c0dc377dfc4233aa,https://cdn-demo.algolia.com/bestbuy/8507939_sb.jpg,"['Appliances', 'Vacuum Belts']",9990,False,3M - Filtrete Eureka U Replacement Belt,Keep things running smoothly at home with these replacement vacuum belts on hand in case of a cleaning emergency.,1 - 50
5,3M,"{'lvl0': 'Appliances', 'lvl1': 'Appliances > Vacuum Bags'}",Bags,9.99,http://www.bestbuy.com/site/3m-filtrete-hoover-w2-microallergen-vacuum-bag-3-pack/9905762.p?id=1218193208999&skuId=9905762&cmp=RMX&ky=1uWSHMdQqBeVJB9cXgEke60s5EjfS6M1W,6cdd53843498f92890544667809f1595,https://cdn-demo.algolia.com/bestbuy/9905762_sb.jpg,"['Appliances', 'Vacuum Bags']",9988,False,3M - Filtrete Hoover W2 MicroAllergen Vacuum Bag (3-Pack),Equip your Hoover WindTunnel 2 series vacuum with these 3M Filtrete W2 64712 vacuum bags that trap airborne allergens using MicroAllergen filtration for a cleaner home environment.,1 - 50
2,Infinity Ward,"{'lvl0': 'Video Games', 'lvl1': 'Video Games > PlayStation 3', 'lvl2': 'Video Games > PlayStation 3 > PS3 Games'}",Playstation 3 sftwre,29.99,http://www.bestbuy.com/site/call-of-duty-ghosts-playstation-3/8871234.p?id=1218924813446&skuId=8871234&cmp=RMX&ky=1uWSHMdQqBeVJB9cXgEke60s5EjfS6M1W,bb50f2e236e5eea0100680137654686c,https://cdn-demo.algolia.com/bestbuy/8871234_sc.jpg,"['Video Games', 'PlayStation 3', 'PS3 Games']",8392,False,Call of Duty: Ghosts - PlayStation 3,"Outnumbered and outgunned, but not outmatched.  Call of Duty: Ghosts is an extraordinary step forward for one of the largest entertainment franchises of all-time. This new chapter in the Call of Duty franchise features a new dynamic where players are on the side of a crippled nation fighting not for freedom, or liberty, but simply to survive.  Fueling this all-new Call of Duty experience, the franchise's new next-gen engine delivers stunning levels of immersion and performance, all while maintaining the speed and fluidity of 60 frames-per-second across all platforms.",1 - 50
6,Canon,"{'lvl0': 'Cameras & Camcorders', 'lvl1': 'Cameras & Camcorders > Digital Camera Accessories', 'lvl2': 'Cameras & Camcorders > Digital Camera Accessories > Flashes, Lighting & Studio', 'lvl3': 'Cameras & Camcorders > Digital Camera Accessories > Flashes, Lighting & Studio > Flashes & Accessories', 'lvl4': 'Cameras & Camcorders > Digital Camera Accessories > Flashes, Lighting & Studio > Flashes & Accessories > Flash Accessories'}",Flashes,249.99,http://www.bestbuy.com/site/canon-speedlite-320ex-external-flash/2209049.p?id=1218314735270&skuId=2209049&cmp=RMX&ky=1uWSHMdQqBeVJB9cXgEke60s5EjfS6M1W,9b1954fdd0f9b4ef4ee2d267ac9de4bd,https://cdn-demo.algolia.com/bestbuy/2209049_sb.jpg,"['Cameras & Camcorders', 'Digital Camera Accessories', 'Flashes, Lighting & Studio', 'Flashes & Accessories', 'Flash Accessories']",8215,False,Canon - Speedlite 320EX External Flash,"Enhance your digital photography with this external flash that features a 2 second recycle time and wireless slave function. The built-in LED light is especially useful for shooting video, for use as a modeling light or for use as an AF assist beam.",200 - 500
4,Canon,"{'lvl0': 'Cameras & Camcorders', 'lvl1': 'Cameras & Camcorders > Camcorders', 'lvl2': 'Cameras & Camcorders > Camcorders > Traditional Camcorders', 'lvl3': 'Cameras & Camcorders > Camcorders > Traditional Camcorders > All Traditional Camcorders'}",Digital video,899.99,http://www.bestbuy.com/site/canon-vixia-hf-g20-32gb-hd-flash-memory-camcorder-black/7930058.p?id=1218862378444&skuId=7930058&cmp=RMX&ky=1uWSHMdQqBeVJB9cXgEke60s5EjfS6M1W,0546131238f7e9d6b5c24dbb5d8e3133,https://cdn-demo.algolia.com/bestbuy/7930058_rb.jpg,"['Cameras & Camcorders', 'Camcorders', 'Traditional Camcorders', 'All Traditional Camcorders']",8212,False,Canon - VIXIA HF G20 32GB HD Flash Memory Camcorder - Black,Create stunning movies with this Canon VIXIA HF G20 8063B002 camcorder that captures high-definition videos and photos with up to 1920 x 1080 resolution for arresting clarity and detail. SuperRange optical image stabilization ensures steady shots.,500 - 2000
